id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0000997932d777bf,fumblings,1,0,0,0,0,0
000103f0d9cfb60f,indistinguishable,1,0,0,0,0,0
000113f07ec002fd,unconnected,1,0,0,0,0,0
0001b41b1c6bb37e,tentativeness,1,0,0,0,0,0
0001d958c54c6e35,to and fro,1,0,0,0,0,0
00025465d4725e87,bootlicking,1,0,0,0,0,0
0002bcb3da6cb337,bowing,1,0,0,0,0,0
00031b1e95af7921,unimpressed,1,0,0,0,0,0
00037261f536c51d,loathing,1,0,0,0,0,0
00040093b2687caa,revulsion,1,0,0,0,0,0
0005300084f90edc,abhorrence,1,0,0,0,0,0
00054a5e18b50dd4,fumbling,1,0,0,0,0,0
0005c987bdfc9d4b,misplaced,1,0,0,0,0,0
0006f16e4e9f292e,shifted,1,0,0,0,0,0
00070ef96486d6f9,shuffled,1,0,0,0,0,0
00078f8ce7eb276d,blinded,1,0,0,0,0,0
0007e25b2121310b,buzzed,1,0,0,0,0,0
000897889268bc93,eagerness,1,0,0,0,0,0
0009801bd85e5806,inebriate,1,0,0,0,0,0
0009eaea3325de8c,tempered,1,0,0,0,0,0
000b08c464718505,disinclination,1,0,0,0,0,0
000bfd0867774845,dread,1,0,0,0,0,0
000c0dfd995809fa,daunting,1,0,0,0,0,0
000c6a3f0cd3ba8e,deterring,1,0,0,0,0,0
000cfee90f50d471,dismaying,1,0,0,0,0,0
000eefc67a2c930f,dissuading,1,0,0,0,0,0
000f35deef84dc4a,tiring,1,0,0,0,0,0
000ffab30195c5e1,tempting,1,0,0,0,0,0
0010307a3a50a353,unreachable,1,0,0,0,0,0
0010833a96e1f886,bewitching,1,0,0,0,0,0
0011cc71398479c4,comely,1,0,0,0,0,0
00128363e367d703,enthralling,1,0,0,0,0,0
001325b8b20ea8aa,dampening,1,0,0,0,0,0
001363e1dbe91225,fetching,1,0,0,0,0,0
0013a8b1a5f26bcb,ill-suited,1,0,0,0,0,0
00148d055a169b93,unreceptive,1,0,0,0,0,0
00151a9f93c6b059,undemonstrative,1,0,0,0,0,0
0015f4aa35ebe9b5,beneficent,1,0,0,0,0,0
00169857adbc989b,goodhearted,1,0,0,0,0,0
0016e01b742b8da3,all heart,1,0,0,0,0,0
001735f961a23fc4,pitying,1,0,0,0,0,0
00173958f46763a2,implicated,1,0,0,0,0,0
001810bf8c45bf5f,nonessential,1,0,0,0,0,0
00190820581d90ce,tantalizing,1,0,0,0,0,0
001956c382006abd,no-go,1,0,0,0,0,0
001b2dd65d9d925c,repugnance,1,0,0,0,0,0
001c419c445b5a59,alienation,1,0,0,0,0,0
001c557175094f10,hesitance,1,0,0,0,0,0
001cadfd324f8087,disapproval,1,0,0,0,0,0
001d874a4d3e8813,disapprobation,1,0,0,0,0,0
001d8e7be417776a,discontentment,1,0,0,0,0,0
001dc38a83d420cf,disgruntlement,1,0,0,0,0,0
001e89eb3f0b0915,offense,1,0,0,0,0,0
001ee16c46a99262,discouragement,1,0,0,0,0,0
001ffdcc3e7fb49c,envy,1,0,0,0,0,0
0020e7119b96eeeb,heartburn,1,0,0,0,0,0
0020fd96ed3b8c8b,hopelessness,1,0,0,0,0,0
00218d74784ce50b,oppression,1,0,0,0,0,0
0021fe88bc4da3e6,trepidation,1,0,0,0,0,0
002264ea4d5f2887,blackened,1,0,0,0,0,0
00229d44f41f3acb,mislaid,1,0,0,0,0,0
0022cf8467ebc9fd,disunited,1,0,0,0,0,0
0023daf96917e0d0,uncoordinated,1,0,0,0,0,0
002746baedcdff10,scatterbrained,1,0,0,0,0,0
00280c0d0652b366,disconnected,1,0,0,0,0,0
0028d62e8a5629aa,injudicious,1,0,0,0,0,0
00290e2a171dd073,unreasoning,1,0,0,0,0,0
